date,generation_mwh_per_mw,asset_id,asset_name,technology,latitude,longitude,capacity_mw,ownership_fraction,generation_mwh_est,generation_mwh_est_owned,temp_2m_k,temp_2m_c,precip_m,precip_mm,solar_radiation_j_m2,wind_u10,wind_v10,wind_speed_10m,selected_grid_lat,selected_grid_lon,country,ownership_pct,operational_status,start_of_operations,commissioning_year,portfolio_capacity_pct,remaining_asset_life_years,power_price_gbp_mwh,generation_per_mw,revenue_proxy_gbp,year,month,pre_operational_flag,temp_2m_c_lag1,precip_mm_lag1,solar_radiation_j_m2_lag1,wind_speed_10m_lag1,power_price_gbp_mwh_lag1,temp_2m_c_roll3_mean,precip_mm_roll3_mean,solar_radiation_j_m2_roll3_mean,wind_speed_10m_roll3_mean,temp_2m_c_anomaly,precip_mm_anomaly,solar_radiation_j_m2_anomaly,wind_speed_10m_anomaly
2018-01-01,0.4382159999999999,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,18.405071999999997,2.8527861599999995,278.88974,5.739746,0.002448082,2.448082,2506752.0,3.7657356,2.7620153,4.6700635,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,24.449784221173296,0.06792348,69.75000604114955,2018,1,0,,,,,,,,,,0.06379481428571498,0.35435814857142844,-272091.42857142864,0.05632402857142882
2018-02-01,0.34272,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,14.394240000000002,2.2311072000000003,276.8111,3.6611023,0.0025730133,2.5730133,5870592.0,-0.3058405,0.88082314,0.9324097,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,26.11949338374291,0.053121600000000005,58.275389748821176,2018,2,0,5.739746,2.448082,2506752.0,4.6700635,24.449784221173296,5.739746,2.448082,2506752.0,4.6700635,-2.4114074857142858,-0.32043455714285685,462336.0,-3.931367871428571
2018-03-01,0.351168,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,14.749056,2.28610368,277.3211,4.171112,0.002937317,2.937317,8375339.0,-3.2794237,1.0617771,3.4470263,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,30.574052398775095,0.05443104,69.89545370135258,2018,3,0,3.6611023,2.5730133,5870592.0,0.9324097,26.11949338374291,4.70042415,2.51054765,4188672.0,2.8012366,-2.4746007285714295,0.8260182857142859,-1148488.7142857146,0.24042565714285713
2018-04-01,0.33336,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,14.00112,2.1701736,281.06592,7.915924,0.002658844,2.658844,12843520.0,-0.20184231,1.1638613,1.1812339,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,25.191667829727844,0.0516708,54.670292464044664,2018,4,0,4.171112,2.937317,8375339.0,3.4470263,30.574052398775095,4.523986766666667,2.6528041,5584227.666666667,3.016499833333333,-0.1975316428571432,1.3084411657142858,-3241472.0,-0.9744629000000002
2018-05-01,0.254448,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,10.686816,1.65645648,283.86713,10.717133,0.0013465881,1.3465881,21153280.0,-1.0292368,-1.6154137,1.9154346,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,26.269286435543588,0.03943944,43.51392974113227,2018,5,0,7.915924,2.658844,12843520.0,1.1812339,25.191667829727844,5.249379433333334,2.7230581,9029817.0,1.8535566333333335,-0.3550587142857129,-0.4422324285714285,1568621.7142857127,0.5197811914285715
2018-06-01,0.1713599999999999,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,7.197119999999999,1.1155536,286.7105,13.560516,0.00038719177,0.38719177,21498368.0,0.10841751,-1.0604963,1.0660238,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,26.490411723656667,0.0265608,29.5514741638074,2018,6,0,10.717133,1.3465881,21153280.0,1.9154346,26.269286435543588,7.601389666666667,2.3142497,14124046.333333334,2.1812316,-0.6320237142857152,-1.8978118685714287,1164288.0,-0.4461767428571428
2018-07-01,0.177072,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,7.437024,1.15273872,290.68933,17.539337,0.0010852814,1.0852814,21132288.0,-1.2966003,0.7560282,1.5009167,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,28.2461600810537,0.027446160000000004,32.56044241674894,2018,7,0,13.560516,0.38719177,21498368.0,1.0660238,26.490411723656667,10.731191,1.4642079566666668,18498389.333333332,1.3875640999999999,0.8923295714285686,-1.3392312142857143,2267574.857142858,-0.5418907328571427
2018-08-01,0.209064,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,8.780688000000001,1.3610066400000005,290.6652,17.515198,0.0031776428,3.1776428,15118848.0,2.8027344,1.5900078,3.2223353,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,29.79008083529808,0.03240492000000001,40.54449782297745,2018,8,0,17.539337,1.0852814,21132288.0,1.5009167,28.2461600810537,13.938995333333333,0.93968709,21261312.0,1.4941250333333336,0.16776842857143137,0.9457724142857145,-1222290.2857142854,0.7433633914285718
2018-09-01,0.30312,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,12.73104,1.9733112,287.99054,14.840546,0.0017204285,1.7204285,11475417.0,3.836708,2.0585089,4.354054,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,31.739821989528796,0.0469836,62.63254621794346,2018,9,0,17.515198,3.1776428,15118848.0,3.2223353,29.79008083529808,16.205017,1.5500386566666666,19249834.666666668,1.9297586000000002,-0.7385731428571418,-1.1258806000000001,34375.0,2.0091769999999998
2018-10-01,0.372,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,15.624,2.42172,285.49298,12.342987,0.0024671555,2.4671555,6802432.0,2.1422377,-0.27018547,2.1592088,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,30.940597119775205,0.05766,74.929462856902,2018,10,0,14.840546,1.7204285,11475417.0,4.354054,31.739821989528796,16.631693666666667,1.9944508999999997,15908851.0,3.0257686666666666,-0.38287807142857133,-1.3463156571428572,560054.8571428573,-1.2385614428571428
2018-11-01,0.39528,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,16.601760000000002,2.5732728,282.8184,9.668396,0.0023422241,2.3422241,3395584.0,-2.0254383,4.7716246,5.1837053,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,30.944116989567807,0.061268399999999994,79.62765456927272,2018,11,0,12.342987,2.4671555,6802432.0,2.1592088,30.940597119775205,14.899576999999999,2.4550756000000002,11132232.333333334,3.2451993666666668,0.2560425000000013,-0.2780641857142854,185636.57142857136,1.188825357142857
2018-12-01,0.354888,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,14.905296,2.31032088,280.5431,7.393097,0.0032577515,3.2577515,1866752.0,2.8690395,3.4969034,4.5232425,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,30.68323092505064,0.05500764,70.8881090720062,2018,12,0,9.668396,2.3422241,3395584.0,5.1837053,30.944116989567807,12.283976333333333,2.1766027,7224477.666666667,3.8989893666666666,0.3018581428571432,0.09563992857142845,-23990.857142857043,0.4170129857142859
2019-01-01,0.348192,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,14.624064,2.26672992,278.4253,5.275299,0.00096702576,0.96702576,2850816.0,4.5638456,-1.1786518,4.7135873,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,30.07315036722072,0.05396976,68.1677097260382,2019,1,0,7.393097,3.2577515,1866752.0,4.5232425,30.68323092505064,9.801493333333333,2.6890437000000005,4021589.3333333335,3.955385533333333,-0.40065218571428485,-1.1266980914285716,71972.57142857136,0.09984782857142882
2019-02-01,0.320544,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,13.462848,2.08674144,279.6722,6.522217,0.0017623901,1.7623901,6080000.0,2.8849812,3.823556,4.7898536,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,24.533755117231113,0.04968432,51.19560348193822,2019,2,0,5.275299,0.96702576,2850816.0,4.7135873,30.07315036722072,7.445597333333333,2.189000453333333,2704384.0,4.8068450333333335,0.4497072142857146,-1.1310577571428568,671744.0,-0.0739239714285711
2019-03-01,0.406968,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,17.092655999999998,2.6493616799999997,280.6213,7.4713135,0.0022716522,2.2716522,9954121.0,4.8743362,2.3942385,5.4306107,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,21.168619063657797,0.06308003999999999,56.08332816577244,2019,3,0,6.522217,1.7623901,6080000.0,4.7898536,24.533755117231113,6.396871,1.9957224533333333,3599189.3333333335,4.675561133333333,0.8256007714285705,0.16035348571428587,430293.28571428545,2.224010057142857
2019-04-01,0.28152,OFW_001,Lincs,offshore_wind,53.1655,0.5238,42.0,0.155,11.82384,1.8326952,281.4332,8.283203,0.00054359436,0.54359436,17506304.0,-4.0475416,0.20134449,4.0525465,53.25,0.5,UK,15.50%,operational,2013-10-31,12,5%,23,21.614812239221138,0.043635600000000004,39.613362639721835,2019,4,0,7.4713135,2.2716522,9954121.0,5.4306107,21.168619063657797,6.422943166666666,1.6670226866666666,6294979.0,4.9780172,0.16974735714285671,-0.8068084742857143,1421312.0,1.8968496999999997
